[INFO 03:21:28]saferun_ptrace starting (mode: deny)
[INFO 03:21:37]PID 512 syscall #12 (brk)
[INFO 03:21:37]PID 512 syscall #158 (arch_prctl)
[INFO 03:21:37]PID 512 syscall #218 (set_tid_address)
[INFO 03:21:37]PID 512 syscall #273 (set_robust_list)
[INFO 03:21:37]PID 512 syscall #334 (rseq)
[INFO 03:21:37]PID 512 syscall #302 (prlimit64)
[INFO 03:21:37]PID 512 syscall #267 (readlinkat)
[INFO 03:21:37]PID 512 syscall #318 (getrandom)
[INFO 03:21:37]PID 512 syscall #12 (brk)
[INFO 03:21:37]PID 512 syscall #12 (brk)
[INFO 03:21:37]PID 512 syscall #12 (brk)
[INFO 03:21:37]PID 512 syscall #10 (mprotect)
[INFO 03:21:37]PID 512 syscall #5 (fstat)
[INFO 03:21:37]PID 512 syscall #39 (getpid)
[INFO 03:21:37]PID 512 syscall #257 (openat)
[INFO 03:21:37]PID 512 syscall #32 (dup)
[INFO 03:21:37]PID 512 syscall #72 (fcntl)
[INFO 03:21:37]PID 512 syscall #3 (close)
[INFO 03:21:37]PID 512 syscall #1 (write)
[INFO 03:21:37]PID 512 syscall #1 (write)
[INFO 03:21:37]PID 512 syscall #0 (read)
[INFO 03:21:37]PID 512 syscall #9 (mmap)
[INFO 03:21:37]PID 512 syscall #11 (munmap)
[INFO 03:21:37]PID 512 syscall #41 (socket)
[INFO 03:21:37]PID 512 syscall #3 (close)
[INFO 03:21:37]PID 512 syscall #39 (getpid)
[INFO 03:21:37]PID 512 syscall #62 (kill)
[INFO 03:21:37]PID 512 syscall #110 (getppid)
[INFO 03:21:37]PID 512 syscall #102 (getuid)
[INFO 03:21:37]PID 512 syscall #104 (getgid)
[INFO 03:21:37]PID 512 syscall #293 (pipe2)
[INFO 03:21:37]PID 512 syscall #3 (close)
[INFO 03:21:37]PID 512 syscall #3 (close)
[INFO 03:21:37]PID 512 syscall #32 (dup)
[INFO 03:21:37]PID 512 syscall #3 (close)
[INFO 03:21:37]PID 512 syscall #72 (fcntl)
[INFO 03:21:37]PID 512 syscall #257 (openat)
[INFO 03:21:37]PID 512 syscall #8 (lseek)
[INFO 03:21:37]PID 512 syscall #3 (close)
[INFO 03:21:37]PID 512 syscall #21 (access)
[INFO 03:21:37]PID 512 syscall #89 (readlink)
[INFO 03:21:37]PID 512 syscall #63 (uname)
[INFO 03:21:37]PID 512 syscall #302 (prlimit64)
[INFO 03:21:37]PID 512 syscall #230 (clock_nanosleep)
[INFO 03:21:37]PID 512 syscall #56 (clone)
[ERROR 03:21:37]Policy block syscall #56 (clone) - killing child 512
[INFO 03:21:37]PID 512 syscall #61 (wait4)
[INFO 03:21:37]Child exited with code 0
[INFO 03:21:58]saferun_ptrace starting (mode: deny)
[INFO 03:21:58]PID 385 syscall #59 (execve)
[INFO 03:21:58]PID 385 syscall #12 (brk)
[INFO 03:21:58]PID 385 syscall #12 (brk)
[INFO 03:21:58]PID 385 syscall #158 (arch_prctl)
[INFO 03:21:58]PID 385 syscall #218 (set_tid_address)
[INFO 03:21:58]PID 385 syscall #273 (set_robust_list)
[INFO 03:21:58]PID 385 syscall #334 (rseq)
[INFO 03:21:58]PID 385 syscall #302 (prlimit64)
[INFO 03:21:58]PID 385 syscall #267 (readlinkat)
[INFO 03:21:58]PID 385 syscall #318 (getrandom)
[INFO 03:21:58]PID 385 syscall #12 (brk)
[INFO 03:21:58]PID 385 syscall #12 (brk)
[INFO 03:21:58]PID 385 syscall #12 (brk)
[INFO 03:21:58]PID 385 syscall #10 (mprotect)
[INFO 03:21:58]PID 385 syscall #5 (fstat)
[INFO 03:21:58]PID 385 syscall #39 (getpid)
[INFO 03:21:58]PID 385 syscall #257 (openat)
[INFO 03:21:58]PID 385 syscall #32 (dup)
[INFO 03:21:58]PID 385 syscall #72 (fcntl)
[INFO 03:21:58]PID 385 syscall #3 (close)
[INFO 03:21:58]PID 385 syscall #1 (write)
[INFO 03:21:58]PID 385 syscall #1 (write)
[INFO 03:21:58]PID 385 syscall #0 (read)
[INFO 03:21:58]PID 385 syscall #9 (mmap)
[INFO 03:21:58]PID 385 syscall #11 (munmap)
[INFO 03:21:58]PID 385 syscall #41 (socket)
[INFO 03:21:58]PID 385 syscall #3 (close)
[INFO 03:21:58]PID 385 syscall #39 (getpid)
[INFO 03:21:58]PID 385 syscall #62 (kill)
[INFO 03:21:58]PID 385 syscall #110 (getppid)
[INFO 03:21:58]PID 385 syscall #102 (getuid)
[INFO 03:21:58]PID 385 syscall #104 (getgid)
[INFO 03:21:58]PID 385 syscall #293 (pipe2)
[INFO 03:21:58]PID 385 syscall #3 (close)
[INFO 03:21:58]PID 385 syscall #3 (close)
[INFO 03:21:58]PID 385 syscall #32 (dup)
[INFO 03:21:58]PID 385 syscall #3 (close)
[INFO 03:21:58]PID 385 syscall #72 (fcntl)
[INFO 03:21:58]PID 385 syscall #257 (openat)
[INFO 03:21:58]PID 385 syscall #8 (lseek)
[INFO 03:21:58]PID 385 syscall #3 (close)
[INFO 03:21:58]PID 385 syscall #21 (access)
[INFO 03:21:58]PID 385 syscall #89 (readlink)
[INFO 03:21:58]PID 385 syscall #63 (uname)
[INFO 03:21:58]PID 385 syscall #302 (prlimit64)
[INFO 03:21:58]PID 385 syscall #230 (clock_nanosleep)
[INFO 03:21:58]PID 385 syscall #56 (clone)
[ERROR 03:21:58]Policy block syscall #56 (clone) - killing child 385
[INFO 03:21:58]PID 385 syscall #61 (wait4)
[INFO 03:21:58]Child exited with code 0
[INFO 03:22:08]saferun_ptrace starting (mode: deny)
[INFO 03:22:08]PID 396 syscall #59 (execve)
[INFO 03:22:08]PID 396 syscall #59 (execve)
[INFO 03:22:08]PID 396 syscall #59 (execve)
[INFO 03:22:08]PID 396 syscall #59 (execve)
[INFO 03:22:08]PID 396 syscall #59 (execve)
[INFO 03:22:08]PID 396 syscall #59 (execve)
[INFO 03:22:08]PID 396 syscall #59 (execve)
[INFO 03:22:08]PID 396 syscall #59 (execve)
[INFO 03:22:08]PID 396 syscall #59 (execve)
[INFO 03:22:08]PID 396 syscall #59 (execve)
[INFO 03:22:08]PID 396 syscall #59 (execve)
[INFO 03:22:08]PID 396 syscall #59 (execve)
[INFO 03:22:08]PID 396 syscall #59 (execve)
[INFO 03:22:08]PID 396 syscall #59 (execve)
[INFO 03:22:08]PID 396 syscall #59 (execve)
[INFO 03:22:08]PID 396 syscall #59 (execve)
[INFO 03:22:08]PID 396 syscall #59 (execve)
[INFO 03:22:08]PID 396 syscall #59 (execve)
[INFO 03:22:08]PID 396 syscall #59 (execve)
[INFO 03:22:08]PID 396 syscall #59 (execve)
[INFO 03:22:08]PID 396 syscall #59 (execve)
[INFO 03:22:08]PID 396 syscall #32 (dup)
[INFO 03:22:08]PID 396 syscall #72 (fcntl)
[INFO 03:22:08]PID 396 syscall #3 (close)
[INFO 03:22:08]PID 396 syscall #1 (write)
[INFO 03:22:08]PID 396 syscall #231 (exit_group)
[INFO 03:22:08]Child exited with code 127
[INFO 03:22:23]saferun_ptrace starting (mode: deny)
[INFO 03:22:23]PID 408 syscall #59 (execve)
[INFO 03:22:23]PID 408 syscall #12 (brk)
[INFO 03:22:23]PID 408 syscall #12 (brk)
[INFO 03:22:23]PID 408 syscall #158 (arch_prctl)
[INFO 03:22:23]PID 408 syscall #218 (set_tid_address)
[INFO 03:22:23]PID 408 syscall #273 (set_robust_list)
[INFO 03:22:23]PID 408 syscall #334 (rseq)
[INFO 03:22:23]PID 408 syscall #302 (prlimit64)
[INFO 03:22:23]PID 408 syscall #267 (readlinkat)
[INFO 03:22:23]PID 408 syscall #318 (getrandom)
[INFO 03:22:23]PID 408 syscall #12 (brk)
[INFO 03:22:23]PID 408 syscall #12 (brk)
[INFO 03:22:23]PID 408 syscall #12 (brk)
[INFO 03:22:23]PID 408 syscall #10 (mprotect)
[INFO 03:22:23]PID 408 syscall #5 (fstat)
[INFO 03:22:23]PID 408 syscall #39 (getpid)
[INFO 03:22:23]PID 408 syscall #257 (openat)
[INFO 03:22:23]PID 408 syscall #32 (dup)
[INFO 03:22:23]PID 408 syscall #72 (fcntl)
[INFO 03:22:23]PID 408 syscall #3 (close)
[INFO 03:22:23]PID 408 syscall #1 (write)
[INFO 03:22:23]PID 408 syscall #1 (write)
[INFO 03:22:23]PID 408 syscall #0 (read)
[INFO 03:22:23]PID 408 syscall #9 (mmap)
[INFO 03:22:23]PID 408 syscall #11 (munmap)
[INFO 03:22:23]PID 408 syscall #41 (socket)
[INFO 03:22:23]PID 408 syscall #3 (close)
[INFO 03:22:23]PID 408 syscall #39 (getpid)
[INFO 03:22:23]PID 408 syscall #62 (kill)
[INFO 03:22:23]PID 408 syscall #110 (getppid)
